,Date Event Began,state
237,2013-06-28,California
238,2013-07-18,California
239,2008-12-10,Oregon
240,2008-02-01,California
241,2008-02-02,California
242,2011-04-20,Louisiana
243,2011-04-25,Tennessee
244,2011-04-28,Arizona
245,2013-02-08,District of Columbia
246,2013-02-08,Maryland
247,2008-01-29,California
248,2009-07-27,Tennessee
249,2004-08-04,California
250,2003-12-04,Michigan
251,2003-12-04,Wisconsin
252,2003-12-04,Michigan
253,2003-12-04,Wisconsin
254,2004-06-14,Arizona
255,2004-03-17,Texas
256,2002-07-20,New York
257,2008-06-09,New Jersey
258,2008-06-23,Indiana
259,2007-07-16,Utah
260,2008-12-02,Missouri
261,2004-07-06,Arizona
262,2004-07-06,Arizona
263,2010-06-01,Indiana
264,2010-09-22,California
265,2010-10-31,California
266,2011-01-13,Florida
267,2003-05-15,Michigan
268,2008-06-12,Iowa
269,2009-12-07,California
270,2005-07-01,Kansas
271,2005-07-01,New Mexico
272,2005-07-01,Oklahoma
273,2005-07-01,Texas
274,2006-02-16,North Dakota
275,2008-08-31,Louisiana
276,2022-05-06,Michigan
277,2022-05-18,New Mexico
278,2022-06-23,California
279,2022-06-24,Louisiana
280,2022-07-18,South Carolina
281,2021-02-11,Illinois
282,2021-02-11,Kansas
283,2021-02-12,Texas
284,2021-02-15,Oklahoma
285,2021-02-15,Oklahoma
286,2021-02-15,Louisiana
287,2021-02-15,Nebraska
288,2021-02-16,Texas
289,2021-02-17,Kansas
290,2021-04-22,California
291,2021-07-09,California
292,2020-01-24,California
293,2020-07-02,California
294,2020-07-08,California
295,2020-07-11,California
296,2020-07-19,New York
297,2020-11-14,California
298,2019-01-30,Illinois
299,2019-04-03,California
300,2019-08-15,New York
301,2019-09-19,Arizona
302,2019-10-04,California
303,2019-10-06,California
304,2019-10-24,California
305,2018-01-02,New York
306,2018-07-11,California
307,2018-07-16,California
308,2018-07-18,California
309,2018-11-10,Wisconsin
310,2016-02-26,California
311,2016-03-03,California
312,2016-05-31,New York
313,2016-08-10,California
314,2016-09-08,New York
315,2016-12-15,California
316,2016-12-28,California
317,2017-01-08,California
318,2017-01-22,California
319,2017-04-07,California
320,2017-05-07,California
321,2017-07-27,California
322,2017-12-13,New York
323,2017-12-29,New York
324,2010-12-30,New York
325,2009-01-17,Indiana
326,2012-11-17,Texas
327,2004-11-09,New Jersey
328,2004-11-09,New York
329,2011-01-27,New York
330,2011-03-01,New York
331,2011-03-08,New York
332,2011-07-28,Kentucky
333,2011-08-03,New York
334,2012-07-19,New York
335,2010-08-02,California
336,2011-02-02,New Mexico
337,2011-02-02,Texas
338,2011-02-03,California
339,2012-06-19,California
340,2012-07-07,California
341,2012-09-06,California
342,2005-06-28,Colorado
343,2010-08-09,New York
344,2013-12-13,Texas
345,2013-12-13,Texas
346,2014-01-24,Wisconsin
347,2014-02-05,New York
348,2014-02-07,New York
349,2014-03-04,Wisconsin
350,2014-04-03,Texas
351,2014-04-03,Wisconsin
352,2014-06-06,Texas
353,2014-06-27,Wisconsin
354,2014-07-02,Wisconsin
355,2014-09-22,Minnesota
356,2014-11-24,Arkansas
357,2014-11-24,Kansas
358,2014-11-24,Louisiana
359,2014-11-24,Nebraska
360,2014-11-24,New Mexico
361,2014-11-24,Texas
362,2013-05-13,California
363,2014-03-03,Washington
364,2014-01-07,Illinois
365,2014-01-17,Illinois
366,2014-02-06,California
367,2014-02-06,California
368,2014-02-06,California
369,2013-02-13,Massachusetts
370,2013-08-07,Wisconsin
371,2013-07-17,New York
372,2014-01-07,North Carolina
373,2014-01-07,South Carolina
374,2022-04-16,Missouri
375,2022-06-04,Texas
376,2022-06-05,California
377,2022-11-10,Arkansas
378,2021-06-07,Texas
379,2019-04-25,Arizona
380,2019-06-12,California
381,2016-09-10,Washington
382,2016-09-12,New Mexico
383,2016-10-07,Texas
384,2016-10-10,Texas
385,2017-05-03,California
386,2017-05-03,California
387,2017-05-07,Kentucky
388,2017-11-01,Kentucky
389,2011-02-02,Texas
390,2011-02-02,Arizona
391,2011-02-02,New Mexico
392,2011-02-02,Texas
393,2011-02-03,Texas
394,2011-03-11,California
395,2011-05-10,Michigan
396,2013-05-20,Louisiana
397,2010-04-21,Louisiana
398,2004-05-03,California
399,2004-12-01,Delaware
400,2004-12-01,Pennsylvania
401,2007-04-05,Maine
402,2007-04-16,Maine
403,2007-09-03,California
404,2007-09-04,California
405,2004-10-30,Michigan
406,2010-10-26,Minnesota
407,2010-10-27,Wisconsin
408,2010-10-27,Michigan
409,2010-10-27,Illinois
410,2003-11-12,Illinois
411,2003-11-13,Maryland
412,2004-12-01,Maryland
413,2007-04-12,California
414,2007-04-14,Massachusetts
415,2007-04-14,New Hampshire
416,2007-04-14,Rhode Island
417,2007-04-16,South Carolina
418,2007-04-16,North Carolina
419,2007-04-16,Virginia
420,2007-10-18,Washington
421,2006-01-14,Delaware
422,2006-01-14,Pennsylvania
423,2006-10-20,Delaware
424,2006-10-20,Pennsylvania
425,2006-11-15,Washington
426,2006-12-14,Oregon
427,2006-12-14,Washington
428,2006-12-14,Oregon
429,2006-12-14,Washington
430,2008-01-30,New York
431,2008-02-10,Ohio
432,2008-02-10,Pennsylvania
433,2008-02-10,Virginia
434,2008-02-10,West Virginia
435,2008-02-10,Virginia
436,2008-02-10,West Virginia
437,2008-02-10,North Carolina
438,2008-09-14,Kentucky
439,2009-01-07,South Carolina
440,2009-02-11,Texas
441,2009-02-12,Ohio
442,2009-02-12,Pennsylvania
443,2009-02-13,Ohio
444,2004-03-04,Texas
445,2010-03-13,New Jersey
446,2004-05-21,Maryland
